Snow Partridge,Lerwa lerwa,GALLIFORMES,Phasianidae,http://upload.wikimedia.org/wikipedia/commons/3/34/Lerwa_lerwa.jpg
Szechenyi's Monal-Partridge,Tetraophasis szechenyii,GALLIFORMES,Phasianidae,/img/image_not_available.jpg
Himalayan Snowcock,Tetraogallus himalayensis,GALLIFORMES,Phasianidae,http://upload.wikimedia.org/wikipedia/commons/c/c8/Himalayan_Snowcock.jpg
Tibetan Snowcock,Tetraogallus tibetanus,GALLIFORMES,Phasianidae,http://upload.wikimedia.org/wikipedia/commons/0/0d/Tetraogallus_tibetanus.jpg
Chukar Partridge,Alectoris chukar,GALLIFORMES,Phasianidae,http://upload.wikimedia.org/wikipedia/commons/0/0a/Chukar_Partridge.jpg
See-see Partridge,Ammoperdix griseogularis,GALLIFORMES,Phasianidae,http://upload.wikimedia.org/wikipedia/commons/d/de/Ammoperdix_griseogularis.jpg
Black Francolin,Francolinus francolinus,GALLIFORMES,Phasianidae,http://upload.wikimedia.org/wikipedia/commons/9/9d/Black_Francolin.jpg
Painted Francolin,Francolinus pictus,GALLIFORMES,Phasianidae,/img/image_not_available.jpg
Chinese Francolin,Francolinus pintadeanus,GALLIFORMES,Phasianidae,http://upload.wikimedia.org/wikipedia/commons/2/2e/Chinese_Francolin.jpg
Grey Francolin,Francolinus pondicerianus,GALLIFORMES,Phasianidae,http://upload.wikimedia.org/wikipedia/commons/5/5f/Grey_Francolin.jpg
Swamp Francolin,Francolinus gularis,GALLIFORMES,Phasianidae,/img/image_not_available.jpg
Tibetan Partridge,Perdix hodgsoniae,GALLIFORMES,Phasianidae,/img/image_not_available.jpg
Common Quail,Coturnix coturnix,GALLIFORMES,Phasianidae,http://upload.wikimedia.org/wikipedia/commons/d/de/Coturnix_coturnix.jpg
Japanese Quail,Coturnix japonica,GALLIFORMES,Phasianidae,http://upload.wikimedia.org/wikipedia/commons/d/db/Japanese_Quail.jpg
Rain Quail,Coturnix coromandelica,GALLIFORMES,Phasianidae,http://upload.wikimedia.org/wikipedia/commons/6/60/Coturnix_coromandelica.jpg
King Quail,Coturnix chinensis,GALLIFORMES,Phasianidae,http://upload.wikimedia.org/wikipedia/commons/3/32/Coturnix_chinensis.jpg
Jungle Bush Quail,Perdicula asiatica,GALLIFORMES,Phasianidae,/img/image_not_available.jpg
Rock Bush Quail,Perdicula argoondah,GALLIFORMES,Phasianidae,/img/image_not_available.jpg
Painted Bush Quail,Perdicula erythrorhyncha,GALLIFORMES,Phasianidae,/img/image_not_available.jpg
Manipur Bush Quail,Perdicula manipurensis,GALLIFORMES,Phasianidae,/img/image_not_available.jpg
Hill Partridge,Arborophila torqueola,GALLIFORMES,Phasianidae,http://upload.wikimedia.org/wikipedia/commons/7/7e/Arborophila_torqueola.jpg
Rufous-throated Partridge,Arborophila rufogularis,GALLIFORMES,Phasianidae,/img/image_not_available.jpg
White-cheeked Partridge,Arborophila atrogularis,GALLIFORMES,Phasianidae,/img/image_not_available.jpg
Chestnut-breasted Partridge,Arborophila mandellii,GALLIFORMES,Phasianidae,/img/image_not_available.jpg
Bar-backed Partridge,Arborophila brunneopectus,GALLIFORMES,Phasianidae,/img/image_not_available.jpg
Mountain Bamboo Partridge,Bambusicola fytchii,GALLIFORMES,Phasianidae,http://upload.wikimedia.org/wikipedia/commons/7/72/Bambusicola_fytchii.jpg
Red Spurfowl,Galloperdix spadicea,GALLIFORMES,Phasianidae,/img/image_not_available.jpg
Painted Spurfowl,Galloperdix lunulata,GALLIFORMES,Phasianidae,/img/image_not_available.jpg
Blood Pheasant,Ithaginis cruentus,GALLIFORMES,Phasianidae,http://upload.wikimedia.org/wikipedia/commons/0/0d/Blood_Pheasant.jpg
Western Tragopan,Tragopan melanocephalus,GALLIFORMES,Phasianidae,/img/image_not_available.jpg
Satyr Tragopan,Tragopan satyra,GALLIFORMES,Phasianidae,http://upload.wikimedia.org/wikipedia/commons/d/d7/Satyr_Tragopan.jpg
Blyth's Tragopan,Tragopan blythii,GALLIFORMES,Phasianidae,/img/image_not_available.jpg
Temminck's Tragopan,Tragopan temminckii,GALLIFORMES,Phasianidae,http://upload.wikimedia.org/wikipedia/commons/2/25/Tragopan_temminckii.jpg
Koklass Pheasant,Pucrasia macrolopha,GALLIFORMES,Phasianidae,/img/image_not_available.jpg
Himalayan Monal,Lophophorus impejanus,GALLIFORMES,Phasianidae,http://upload.wikimedia.org/wikipedia/commons/1/1b/Lophophorus_impejanus.jpg
Sclater's Monal,Lophophorus sclateri,GALLIFORMES,Phasianidae,http://upload.wikimedia.org/wikipedia/commons/0/0a/Lophophorus_sclateri.jpg
Red Junglefowl,Gallus gallus,GALLIFORMES,Phasianidae,http://upload.wikimedia.org/wikipedia/commons/1/18/Gallus_gallus.jpg
Grey Junglefowl,Gallus sonneratii,GALLIFORMES,Phasianidae,/img/image_not_available.jpg
Kalij Pheasant,Lophura leucomelanos,GALLIFORMES,Phasianidae,http://upload.wikimedia.org/wikipedia/commons/8/8c/Kalij_Pheasant.jpg
Tibetan Eared Pheasant,Crossoptilon harmani,GALLIFORMES,Phasianidae,/img/image_not_available.jpg
Cheer Pheasant,Catreus wallichi,GALLIFORMES,Phasianidae,http://upload.wikimedia.org/wikipedia/commons/8/85/Catreus_wallichi.jpg
Mrs. Hume's Pheasant,Syrmaticus humiae,GALLIFORMES,Phasianidae,http://upload.wikimedia.org/wikipedia/commons/5/5a/Syrmaticus_humiae.jpg
Common Pheasant,Phasianus colchicus,GALLIFORMES,Phasianidae,http://upload.wikimedia.org/wikipedia/commons/9/9f/Phasianus_colchicus.jpg
